HIGHDEG,ICLEVEL,SAT_AVG_ALL,ADM_RATE_ALL,TUITFTE,CONTROL,GRAD_DEBT_MDN,COMP_ORIG_YR4_RT,PCTFLOAN,MD_EARN_WNE_P8,CDR3,DEP_INC_AVG,UG25ABV,UGDS,PAR_ED_PCT_PS,RPY_3YR_RT,ATDCOST
2.0,2.0,1113.9429675042777,0.7484922508513776,3116.0,1.0,9689.0,0.137487636004,0.1976,35082.0,0.026,45325.739761,0.2701,6143.0,0.5497092218,0.4485852312,14975.0
2.0,2.0,1083.1605160703994,0.7730383229059903,3686.0,1.0,12000.0,0.128973660309,0.1758,32820.0,0.048,45037.624273,0.2773,6795.0,0.544656297,0.38055344,11507.0
2.0,2.0,1020.2202135453912,0.6463319745637288,1447.0,1.0,9825.720213496512,0.159220146223,0.0,27954.0,0.05285537735593045,21216.20025,0.3378,2779.0,0.5252768416,0.3207067971626525,13864.0
4.0,1.0,1017.0,0.74333983105912,8863.0,1.0,24944.0,0.14502529511,0.6499,39261.0,0.026,45638.706725,0.373,2310.0,0.596789424,0.3667296786,22525.0
2.0,2.0,1041.933783018209,0.740713684115061,1581.0,1.0,7575.385427330468,0.326750448833,0.0,27726.0,0.0514734904778594,23177.425414,0.1459,1129.0,0.4796573876,0.36650576166402893,14826.0
2.0,2.0,1146.0,0.45353982300884,2732.0,1.0,9250.0,0.365168539326,0.3641,48898.0,0.029,71875.519355,0.1984978217938762,314.0,0.7661971831,0.5924657534,18568.0
3.0,1.0,863.1774090617376,0.8236508751314616,4779.0,2.0,31217.0,0.059945504087,0.8049,28691.0,0.045,26571.678053,0.152,1517.0,0.5835411471,0.149776928,22857.0
4.0,1.0,1062.1654421158282,0.64092446448703,9788.0,2.0,26500.0,0.418552036199,0.488,38069.0,0.03,66981.292731,0.0623,1112.0,0.6757142857,0.4438722966,37823.0
4.0,1.0,1131.0,0.90086526576019,9324.0,1.0,24000.0,0.391228070175,0.5247,36897.0,0.008,63913.685846,0.0804,2184.0,0.6747624076,0.5173333333,26709.0
2.0,2.0,1050.1866325406056,0.8404255814977121,2624.0,1.0,10000.0,0.104522613065,0.1952,28556.0,0.032,36069.690775,0.167,2095.0,0.4858882125,0.3611312545,9617.0
4.0,1.0,1060.480923105654,0.89970674486803,7620.0,1.0,22077.0,0.418245614035,0.4218,39060.0,0.04,58809.36,0.1399,5165.0,0.63673976,0.516271595,21507.0
2.0,2.0,1083.4338312489492,0.8804098136453959,2686.0,1.0,6100.0,0.24039829303,0.1399,31093.0,0.038,34602.374582,0.1712,1565.0,0.4172240803,0.4630102041,9260.0
4.0,1.0,1027.439468812443,0.71850170261066,13645.0,2.0,27000.0,0.232911392405,0.6871,35400.0,0.033,58300.05506,0.1284,1353.0,0.82376502,0.2837301587,37238.0
2.0,2.0,1029.5546462473892,0.7859785719605081,2047.0,1.0,5360.099714619253,0.453608247423,0.0,26495.0,0.04778885786422911,17902.858065,0.3717,254.0,0.4096774194,0.3560809692682855,8598.0
2.0,2.0,1004.9126412459308,0.6751414003876923,2326.0,1.0,9437.0984166704,0.161485319516,0.0,25745.0,0.05357608494144582,19524.810967,0.353,1885.0,0.5146022155,0.3069508225867893,10415.0
4.0,1.0,1236.0,0.83874792506521,20237.0,2.0,19500.0,0.711409395973,0.3093,51300.0,0.009,119188.063,0.0166,3604.0,0.8619447779,0.7767548907,51314.0
2.0,2.0,1031.3145288527198,0.6341779973296549,2435.0,1.0,10089.08278136127,0.142857142857,0.0,31176.0,0.05179846849242524,21980.078645,0.3011,4018.0,0.5236955481,0.3280351962877234,14409.0
2.0,2.0,1072.0639251080822,0.8149477437162218,2970.0,1.0,9000.0,0.268321513002,0.1312,31284.0,0.038,36588.066872,0.1947,1537.0,0.4673748103,0.3530701754,13481.0
4.0,1.0,1132.0,0.7077938563087,9225.0,1.0,24929.0,0.422551252847,0.512,43010.0,0.023,59900.593725,0.128,8631.0,0.665742025,0.4695919938,22139.0
4.0,1.0,1019.0,0.71523178807947,12381.0,2.0,27000.0,0.4642012094687482,0.7484,44386.0,0.038,83236.990323,0.0475,989.0,0.7483660131,0.6072013093,56502.0
3.0,1.0,901.4995117590381,0.75798319327731,8143.0,2.0,29067.0,0.146496815287,0.7339,32234.0,0.072,30744.601202,0.2225,721.0,0.5894941634,0.2526595745,24540.0
4.0,1.0,891.5563497088692,0.8194047506640982,8669.0,2.0,28500.0,0.16339869281,0.7036,26205.0,0.083,30897.974359,0.1241,1144.0,0.6019417476,0.1789181692,22696.0
2.0,2.0,1000.5657996579077,0.6176008789320797,2799.0,1.0,11116.81053406022,0.075203252033,0.0,27193.0,0.05465526104671592,21369.467153,0.3234,1522.0,0.5695600476,0.30847603914416816,12098.0
4.0,1.0,1082.0,0.95270469997044,9483.0,1.0,25000.0,0.2837922403,0.6436,36985.0,0.026,54335.659331,0.3538,10916.0,0.6101542878,0.3498531898,21376.0
4.0,1.0,1080.0,0.34197976038152,14730.0,2.0,27000.0,0.454833597464,0.1305,42051.0,0.038,53532.205314,0.0385,2184.0,0.7693561532,0.4960173787,41991.0
4.0,1.0,1100.545250398825,1.0,13404.0,2.0,19798.43548208443,0.49380607993583836,0.6364,48476.0,0.02,58708.857143,0.8028,68.0,0.4730571340355689,0.4436090226,29475.668582942933
2.0,2.0,1040.486672028009,0.7005166521565038,2287.0,1.0,8639.685329221102,0.222546161322,0.0,30432.0,0.0518679632161383,22354.680658,0.2344,2291.0,0.4691916337,0.33917611639435347,15406.0
4.0,1.0,1104.0197849695994,0.69046925094724,8106.0,1.0,20210.0,0.174219093709,0.1708,44970.0,0.008,62682.644846,0.4421,7284.0,0.6108061254,0.5477396726,20548.0
3.0,1.0,1061.8687587968095,0.7451130683324956,9080.0,2.0,16104.05697058553,0.37142698051553835,0.175,36905.761437503985,0.0,47722.913717744144,0.2727,37.0,0.595269825752811,0.47485864845054604,20897.0
4.0,1.0,1169.0,0.64693295292439,9274.0,1.0,20291.0,0.232333010649,0.1844,42530.0,0.027,69115.815789,0.45,4108.0,0.6011673152,0.547265987,19621.0
4.0,1.0,1084.959024912269,0.5625,8622.0,1.0,19111.0,0.189591078067,0.144,42542.0,0.009,63673.621495,0.5185,999.0,0.6048565121,0.5768645358,16275.0
4.0,1.0,1132.1349303974241,0.96031746031746,12185.0,2.0,23500.0,0.433734939759,0.4519,44786.0,0.009,78345.556962,0.5559,347.0,0.5996604291518004,0.5701357466,38278.0
1.0,3.0,1224.7125267089773,0.6363463974870296,7862.0,1.0,3562.8577446489944,0.647329151218021,0.015,47409.0,0.0,60244.831169,0.5097,259.0,0.5586206897,0.686440678,18826.0
3.0,1.0,1090.5572438762188,0.8858605299350497,5239.0,3.0,14176.0,0.530589543938,0.6665,31046.0,0.033,45897.407782,0.6059,2215.0,0.4459598559,0.3047679059,32511.0
